# Entity Format:
# type gridX gridY animationName additionalProperties...

tile 2 10 Block boundingBox=0
tile 3 10 Block boundingBox=0
tile 4 10 Block boundingBox=0
tile 5 10 Block boundingBox=0
tile 6 10 Block boundingBox=0
tile 7 10 Block boundingBox=0
tile 8 10 Block boundingBox=0
tile 9 10 Block boundingBox=0
tile 10 10 Block boundingBox=0
tile 12 10 Block boundingBox=0
tile 13 10 Block boundingBox=0
tile 14 10 Block boundingBox=0
tile 14 9 Block boundingBox=0
tile 14 8 Block boundingBox=0
tile 14 5 Block boundingBox=0
tile 14 4 Block boundingBox=0
tile 8 8 Block boundingBox=0
tile 9 8 Block boundingBox=0
snake 8 9 SnakeUp boundingBox=0
snake 7 9 SnakeDown boundingBox=0
snake 6 9 SnakeLeft boundingBox=0
stone 8 7 Stone boundingBox=0
bg	0 17	BG	boundingBox=0
bg	1 17	BG	boundingBox=0
bg	2 17	BG	boundingBox=0
bg	3 17	BG	boundingBox=0
cp	4 17	Checkpoint	boundingBox=0
bg	5 17	BG	boundingBox=0
g	0 18	G	boundingBox=0
g	1 18	G	boundingBox=0
g	2 18	G	boundingBox=0
g	3 18	G	boundingBox=0
g	4 18	G	boundingBox=0
g	5 18	G	boundingBox=0
g	0 16	G	boundingBox=0
g	1 16	G	boundingBox=0
g	2 16	G	boundingBox=0
g	3 16	G	boundingBox=0
g	4 16	G	boundingBox=0
g	5 16	G	boundingBox=0
Grass	6 16	Grass	boundingBox=0
Grass	7 16	Grass	boundingBox=0
Grass	8 16	Grass	boundingBox=0
Grass	9 16	Grass	boundingBox=0
Grass	10 16	Grass	boundingBox=0
Grass	11 16	Grass	boundingBox=0
